russian,ingush,definition,source
бауле (Африка),бауле,,ingush_dictionary_full.txt
опьянеть,баха,,ingush_dictionary_full.txt
извлекать,ба́ха,,ingush_dictionary_full.txt
жить,ба́ха,,ingush_dictionary_full.txt
ехать,баха,,ingush_dictionary_full.txt
расселиться,ба́ха хо́вша,,ingush_dictionary_full.txt
расселение,ба́ха хо́вшабар,,ingush_dictionary_full.txt
заселить,ба́ха ховшабе,,ingush_dictionary_full.txt
расселить,ба́ха хо́вшабе,,ingush_dictionary_full.txt
переселяются,baxæ-bolx,,ingush_dictionary_full.txt
делать мамалыгу,baxæ-kho,,ingush_dictionary_full.txt
ушли,bæxær,,ingush_dictionary_full.txt
понуд. ф. от баха 2 (ехать),бахийта,,ingush_dictionary_full.txt
отелиться,бахка,,ingush_dictionary_full.txt
положить,бахка,,ingush_dictionary_full.txt
отёл,бахкар,,ingush_dictionary_full.txt
понуд. ф. от бахка 1 (отелиться),бахкийта,,ingush_dictionary_full.txt
Бахрейн,Бахрейн,,ingush_dictionary_full.txt
бахрейнец,бахрейнхо,,ingush_dictionary_full.txt
бахрейнец (Азия),бахрейнхо,,ingush_dictionary_full.txt
бахрейнка,бахрейнхо,,ingush_dictionary_full.txt
бахрейнский,бахрейнхой,,ingush_dictionary_full.txt
ремень,бахтар,,ingush_dictionary_full.txt
бретелька,бахтар,,ingush_dictionary_full.txt
подтяжка для сбруи,бахтар,,ingush_dictionary_full.txt
бахтиар (Азия),бахтиаре,,ingush_dictionary_full.txt
1) лопата деревянная; 2) совковая лопата,бахь,,ingush_dictionary_full.txt
деревянная лопата,бахьа,,ingush_dictionary_full.txt
лопата,бахьа,,ingush_dictionary_full.txt
нести,бахьа,,ingush_dictionary_full.txt
совковая лопата,бахьа бел,,ingush_dictionary_full.txt
колпица,бахьазӀокьярг,,ingush_dictionary_full.txt
причина,бахьан,,ingush_dictionary_full.txt
мотив,бахьан,,ingush_dictionary_full.txt
мотивация,бахьан,,ingush_dictionary_full.txt
основание,бахьан,,ingush_dictionary_full.txt
повод,бахьан,,ingush_dictionary_full.txt
предлог,бахьан,,ingush_dictionary_full.txt
незачем,бахьан дац,,ingush_dictionary_full.txt
мотивировка,бахьан доаладар,,ingush_dictionary_full.txt
мотивировать,бахьан доаладе,,ingush_dictionary_full.txt
напрасно,бахьан доацаш,,ingush_dictionary_full.txt
мотивированный,бахьан дола,,ingush_dictionary_full.txt
за (ради чего,бахьан долаш,,ingush_dictionary_full.txt
в результате,бахьан долаш,,ingush_dictionary_full.txt
благодаря,бахьан долаш,,ingush_dictionary_full.txt
ввиду,бахьан долаш,,ingush_dictionary_full.txt
вследствие,бахьан долаш,,ingush_dictionary_full.txt
из-за,бахьан долаш,,ingush_dictionary_full.txt
придумать (выдумать),бахьан лаха,,ingush_dictionary_full.txt
причинный оборот,бахьана корчам,,ingush_dictionary_full.txt
причинный,бахьана,,ingush_dictionary_full.txt
не несёт гармонию,bæx́æc pandar,,ingush_dictionary_full.txt
понуд. ф. от бахьа 2 (нести),бахьийта,,ingush_dictionary_full.txt
эксплуатировать,ба́ца,,ingush_dictionary_full.txt
чуовттабаь,"ба́ца, боацабие",,ingush_dictionary_full.txt
бацбиец,ба́цо,,ingush_dictionary_full.txt
цова-тушинец,бацо,,ingush_dictionary_full.txt
бацбийка,ба́цо,,ingush_dictionary_full.txt
цова-тушинка,бацо,,ingush_dictionary_full.txt
овцы тушинской породы,ба́цой жа,,ingush_dictionary_full.txt
бацбийский,ба́цой,,ingush_dictionary_full.txt
цова-тушинский,бацой,,ingush_dictionary_full.txt
по-бацбийски,бацошха,,ingush_dictionary_full.txt
по-цоватушински,бацошха,,ingush_dictionary_full.txt
биерий буоча дош; биерий басильгаш.,ба́ч||арьг,,ingush_dictionary_full.txt
тает лёд,bæš šæ,,ingush_dictionary_full.txt
растаять,баша,,ingush_dictionary_full.txt
брить,ба́ша,,ingush_dictionary_full.txt
саг,ба́ша,,ingush_dictionary_full.txt
один из видов кремнёвого ружья,башасартоп,,ingush_dictionary_full.txt
понуд. ф. от баша (растаять),башийта,,ingush_dictionary_full.txt
Башкирия,Башкири,,ingush_dictionary_full.txt
башкир,башкорто,,ingush_dictionary_full.txt
башкир (Европа),башкорто,,ingush_dictionary_full.txt
башкирка,башкорто,,ingush_dictionary_full.txt
башкирский,башкортой,,ingush_dictionary_full.txt
по-башкирски,башкортошха,,ingush_dictionary_full.txt
белггала дика,ба́шха,,ingush_dictionary_full.txt
значительная (весомая) роль,башха дакъа,,ingush_dictionary_full.txt
все равно (безразлично),башха дац,,ingush_dictionary_full.txt
неважно,ба́шха дика дац,,ingush_dictionary_full.txt
неважный,башха дика доаца,,ingush_dictionary_full.txt
различаться,ба́шха хила,,ingush_dictionary_full.txt
наглядный образец (пример),башха хьокхам,,ingush_dictionary_full.txt
замечательный,ба́шха,,ingush_dictionary_full.txt
особый,башха,,ingush_dictionary_full.txt
отличие,bašxæ,,ingush_dictionary_full.txt
превосходный,башха,,ingush_dictionary_full.txt
разница,ба́шхало,,ingush_dictionary_full.txt
различие,ба́шхало,,ingush_dictionary_full.txt
нивелируя разницу (отличия),башхало дӀанийсъеш,,ingush_dictionary_full.txt
разниться,ба́шхало йолаш хила,,ingush_dictionary_full.txt
разновидный,башхалонаш йола,,ingush_dictionary_full.txt
разновидность,башхалонаш йолаш хилар,,ingush_dictionary_full.txt
луговой волк или койот,баь бордз,,ingush_dictionary_full.txt
передумать (изменить решение),баь соцам хувца,,ingush_dictionary_full.txt
луговой конёк,баь тӀара цонмеъа,,ingush_dictionary_full.txt
луговой чекан,баь тӀара чӀакъяхарг,,ingush_dictionary_full.txt
луговая ящерица,баь тӀара шолкъа,,ingush_dictionary_full.txt
жёлтый луговой муравей,баь тӀара ӀажагӀа зунгат,,ingush_dictionary_full.txt
луговой,баь,,ingush_dictionary_full.txt
окатилась овца,bäb-häxær,,ingush_dictionary_full.txt
сгорела рука,bägab-px́ars,,ingush_dictionary_full.txt
затемниться,баьддерза,,ingush_dictionary_full.txt
тускнеть,баьддерза,,ingush_dictionary_full.txt
меркнуть,баьддерза,,ingush_dictionary_full.txt
потемнеть,баьддерза,,ingush_dictionary_full.txt
понуд. ф. от баьддерзаде (затемнить),баьддерзадайта,,ingush_dictionary_full.txt
затемнить,баьддерзаде,,ingush_dictionary_full.txt
затемно,баьде йоллаш,,ingush_dictionary_full.txt
тёмная туманность (облака межзвёздного газа,баьде седкъморх,,ingush_dictionary_full.txt
тёмная энергия (термин инфляционной космологии,баьде хьинар,,ingush_dictionary_full.txt
тёмная материя,баьде хӀама,,ingush_dictionary_full.txt
тёмный хомяк,баьде эп,,ingush_dictionary_full.txt
темно,баьде я,,ingush_dictionary_full.txt
мглистый,баьде,,ingush_dictionary_full.txt
сумеречный,баьде,,ingush_dictionary_full.txt
тёмный,баьде,,ingush_dictionary_full.txt
тёмно-зелёный,баьде-баьццара,,ingush_dictionary_full.txt
тёмно-бледный,баьде-бессаза,,ingush_dictionary_full.txt
тёмно-бурый древогрыз,баьде-буора гаьнашъюарг,,ingush_dictionary_full.txt
тёмно-бурый,баьде-буора,,ingush_dictionary_full.txt
тёмно-русый,баьде-ке́ра,,ingush_dictionary_full.txt
тёмно-коричневый,баьде-мора,,ingush_dictionary_full.txt
тёмно-синий,баьде-сийна,,ingush_dictionary_full.txt
багрянец,баьде-цӀе бос,,ingush_dictionary_full.txt
багровый,баьде-цӀе,,ingush_dictionary_full.txt
багряный,баьде-цӀе,,ingush_dictionary_full.txt
бордовый,баьде-цӀе,,ingush_dictionary_full.txt
тёмно-красный,баьде-цӀе,,ingush_dictionary_full.txt
тёмно-жёлтый,баьде-ӀажагӀа,,ingush_dictionary_full.txt
мрачный,баьде,,ingush_dictionary_full.txt
темнота,bädel,,ingush_dictionary_full.txt
впотьмах,баьдеча,,ingush_dictionary_full.txt
треснуло дерево,bädthab-xiņ,,ingush_dictionary_full.txt
дотемна,баьдъерзалца,,ingush_dictionary_full.txt
искусственный отводок пчелосемьи,баьккха никх,,ingush_dictionary_full.txt
отроившаяся пчелиная семья,баьнна никх,,ingush_dictionary_full.txt
кончили они,bännæb yš,,ingush_dictionary_full.txt
наездничество,баьрел,,ingush_dictionary_full.txt
плётка всадника,баьречун шод,,ingush_dictionary_full.txt
размножились,bäržab-qhuj,,ingush_dictionary_full.txt
всадник,баьри,,ingush_dictionary_full.txt
наездник,баьри,,ingush_dictionary_full.txt
1) наездник; 2) всадник,баьри,,ingush_dictionary_full.txt
а) наездник,баьри,,ingush_dictionary_full.txt
почётное место,баьрче,,ingush_dictionary_full.txt
пустой,баьсса,,ingush_dictionary_full.txt
Средние Ачалуки,Баьтамарза-Юрт,,ingush_dictionary_full.txt
на лугу,bäthæ,,ingush_dictionary_full.txt
овощи,баьца даараш,,ingush_dictionary_full.txt
овощной,баьца даарий,,ingush_dictionary_full.txt
клубника,баьца комараш,,ingush_dictionary_full.txt
травинка,баьца мергӀилг,,ingush_dictionary_full.txt
жабий,баьца пхьида,,ingush_dictionary_full.txt
молодая трава,баьца тов,,ingush_dictionary_full.txt
травяной,баьца,,ingush_dictionary_full.txt
запах травный,bäcæ-x́æž,,ingush_dictionary_full.txt
зелень,баьцадаар,,ingush_dictionary_full.txt
травяная мышь,баьцадахка,,ingush_dictionary_full.txt
земляника,баьцакомар,,ingush_dictionary_full.txt
земляничная тля,баьцакомарий баьцамеза,,ingush_dictionary_full.txt
земляничный листоед,баьцакомарий гӀадуарг,,ingush_dictionary_full.txt
стебелёк травинки (тоненький),баьцакӀиг,,ingush_dictionary_full.txt
июль,Баьцамеа бутт,,ingush_dictionary_full.txt
тля,баьцамеза,,ingush_dictionary_full.txt
стебелёк травинки,баьцамергӀилг,,ingush_dictionary_full.txt
коростель,баьцамеъа,,ingush_dictionary_full.txt
травяная лягушка,баьцапхьид,,ingush_dictionary_full.txt
жаба,баьцапхьид,,ingush_dictionary_full.txt
травянка,баьцарг,,ingush_dictionary_full.txt
травянка-огнёвка,баьцарг-шайтӀаговр,,ingush_dictionary_full.txt
травяная вошь,баьцасагал,,ingush_dictionary_full.txt
зелёнушка,баьцахилг,,ingush_dictionary_full.txt
медвежий лук,баьцахох,,ingush_dictionary_full.txt
травяная крыса,баьцацицхолг,,ingush_dictionary_full.txt
травополье,баьцаш ер,,ingush_dictionary_full.txt
травопольный,баьцаш ю,,ingush_dictionary_full.txt
травяная тля,баьций баьцамеза,,ingush_dictionary_full.txt
травяной листоед,баьций гӀадуарг,,ingush_dictionary_full.txt
былинка,баьцилг,,ingush_dictionary_full.txt
стебелёк,баьцмергӀилг,,ingush_dictionary_full.txt
растение,баьцовгӀа,,ingush_dictionary_full.txt
растения,баьцовгӀа,,ingush_dictionary_full.txt
укрепляет растения (давать жизненную силу),баьцовгӀа онда йоаккха,,ingush_dictionary_full.txt
пасынок,баьцовгӀа шолгӀарг,,ingush_dictionary_full.txt
флора,баьцовгӀай дуне,,ingush_dictionary_full.txt
растительный,баьцовгӀай,,ingush_dictionary_full.txt
растительность,баьцовгӀаш,,ingush_dictionary_full.txt
растениеводство,баьцовгӀаш лелаяр,,ingush_dictionary_full.txt
зелёный,bäccær,,ingush_dictionary_full.txt
зелёный кузнечик,баьццара баскилг,,ingush_dictionary_full.txt
зелёная черепаха,баьццара богапхьид,,ingush_dictionary_full.txt
зелёная белка,баьццара бӀа́рашдуа́рг,,ingush_dictionary_full.txt
салатовая веснянка,баьццара бӀаьстарг,,ingush_dictionary_full.txt
зелёная кваква,баьццара варкъилг,,ingush_dictionary_full.txt
зелёный банановый таракан,баьццара гӀандгӀилг,,ingush_dictionary_full.txt
зелёная якамара,баьццара гӀиргӀберг,,ingush_dictionary_full.txt
зелёная щурка,баьццара жалкъорг,,ingush_dictionary_full.txt
зелёный луч (зеленоватый ободок,баьццара зӀы,,ingush_dictionary_full.txt
зелёная стрекоза,баьццара йилбазговр,,ingush_dictionary_full.txt
еловый зелёный долгоносик,баьццара корсамий ялата чоапилг,,ingush_dictionary_full.txt
зелёный голубь,баьццара кхокха,,ingush_dictionary_full.txt
зелёная сойка,баьццара къахьа́йг,,ingush_dictionary_full.txt
зелёная сорока,баьццара къужкъайг,,ingush_dictionary_full.txt
муха зеленушка,баьццара моза,,ingush_dictionary_full.txt
изумрудный тукан,баьццара сибаздуарг,,ingush_dictionary_full.txt
зелёная пеночка,баьццара сихсарг,,ingush_dictionary_full.txt
зелёная морская водоросль,баьццара фордабаьцовгӀа,,ingush_dictionary_full.txt
зелёный дятел,баьццара хе́нахзӀокъе́ттарг,,ingush_dictionary_full.txt
зелёный лук,баьццара хох,,ingush_dictionary_full.txt
техасский скорпион,баьццара ювгизг,,ingush_dictionary_full.txt
яблоневая зелёная тля,баьццара Ӏажий баьцамеза,,ingush_dictionary_full.txt
зелёный моховик,баьццара Ӏовна жӀаленускал,,ingush_dictionary_full.txt
зеленый,баьццара,,ingush_dictionary_full.txt
позеленеть,баьццардерза,,ingush_dictionary_full.txt
квакша,баьццарпхьид,,ingush_dictionary_full.txt
1) квакша; 2) древесная лягушка,баьццарпхьид,,ingush_dictionary_full.txt
вероломство,bäčoax́-gholbæ tijša bolx,,ingush_dictionary_full.txt
вождь,баьчча,,ingush_dictionary_full.txt
тайпана,баьчча,,ingush_dictionary_full.txt
главарь,баьчча,,ingush_dictionary_full.txt
предводитель,баьчча,,ingush_dictionary_full.txt
военачальник,баьчча,,ingush_dictionary_full.txt
вожак,баьчча,,ingush_dictionary_full.txt
1) военачальник; 2) предводитель; 3) вождь,баьчча,,ingush_dictionary_full.txt
главенство,баьччал,,ingush_dictionary_full.txt
главенствовать,баьччал де,,ingush_dictionary_full.txt
боевое наголовье вождя,баьччан бегӀинг,,ingush_dictionary_full.txt
колючка,баӀа,,ingush_dictionary_full.txt
репей,баӀа,,ingush_dictionary_full.txt
свивать,баӀа,,ingush_dictionary_full.txt
холощение,bæhær-kæ,,ingush_dictionary_full.txt
посеять,бе,,ingush_dictionary_full.txt
сделать,бе,,ingush_dictionary_full.txt
убить,бе,,ingush_dictionary_full.txt
всё равно,beņ dac,,ingush_dictionary_full.txt
безразлично,бе-ба́шха,,ingush_dictionary_full.txt
безразличный,бе-башха,,ingush_dictionary_full.txt
размножить,беба,,ingush_dictionary_full.txt
понуд. ф. от беба (размножиться),бебийта,,ingush_dictionary_full.txt
шутка,бег,,ingush_dictionary_full.txt
сатира,бег,,ingush_dictionary_full.txt
насмешка,бег,,ingush_dictionary_full.txt
веять (зерно),бе́га,,ingush_dictionary_full.txt
трусить,бе́габайта,,ingush_dictionary_full.txt
вытруситься,бегабала,,ingush_dictionary_full.txt
понуд. ф. от бегабала (вытруситься),бегабалийта,,ingush_dictionary_full.txt
подводная повинность,begare,,ingush_dictionary_full.txt
шутить,бегаш бе,,ingush_dictionary_full.txt
острить,бе́гаш бе,,ingush_dictionary_full.txt
пошутить,бе́гаш бе,,ingush_dictionary_full.txt
балагурить,бе́гаш бе,,ingush_dictionary_full.txt
подсмеиваться,бе́гаш бе,,ingush_dictionary_full.txt
балагур,бе́гаш бола саг,,ingush_dictionary_full.txt
шутливый (прил.),бегаш бу,,ingush_dictionary_full.txt
шутливый,бе́гаш бу,,ingush_dictionary_full.txt
шишковатый,бега́ш ягӀаш,,ingush_dictionary_full.txt
серьезно (не шутя),бегашта а доацаш,,ingush_dictionary_full.txt
юмор,бегашта даккхар,,ingush_dictionary_full.txt
шуточный,бегашта дола,,ingush_dictionary_full.txt
шутливо,бегашта,,ingush_dictionary_full.txt
шутя,бе́гашта,,ingush_dictionary_full.txt
подтрунить,бегдаккха,,ingush_dictionary_full.txt
осмеять,бегда́ккха,,ingush_dictionary_full.txt
сарказм,бегдаккхар,,ingush_dictionary_full.txt
саркастический,бегдоаккхаш дола,,ingush_dictionary_full.txt
юмористичный,бегий,,ingush_dictionary_full.txt
юмористический,бегий,,ingush_dictionary_full.txt
сырой чурек,bedæ jæ syskæl,,ingush_dictionary_full.txt
кильга чухьа,бедал,,ingush_dictionary_full.txt
"мышечная часть руки, ноги",бедал,,ingush_dictionary_full.txt
перо,бедар,,ingush_dictionary_full.txt
оперение,бедар,,ingush_dictionary_full.txt
1) одежда; 2) оперение,бедар,,ingush_dictionary_full.txt
пернатый,бедар яьнна,,ingush_dictionary_full.txt
перо птичье,bedær,,ingush_dictionary_full.txt
перо (птичье),бедарг,,ingush_dictionary_full.txt
пёрышко,бедаргилг,,ingush_dictionary_full.txt
пуховик,бедарий м||отт,,ingush_dictionary_full.txt
пуховый,бедарий,,ingush_dictionary_full.txt
бедарка,bedarkæ,,ingush_dictionary_full.txt
беджа (Африка),бедже,,ingush_dictionary_full.txt
гора с покатым склоном,бежа лоам,,ingush_dictionary_full.txt
стадо скота,bežæ hul,,ingush_dictionary_full.txt
козлиный,бежа,,ingush_dictionary_full.txt
скотный,бежа,,ingush_dictionary_full.txt
крупнорогатая скотина,бежан,,ingush_dictionary_full.txt
телка,бежан,,ingush_dictionary_full.txt
говядина,бежана дулх,,ingush_dictionary_full.txt
говяжий,бежана,,ingush_dictionary_full.txt
пастух (крупного рогатого скота),бежаӀу,,ingush_dictionary_full.txt
стадо крупнорогатого скота,бежаӀул,,ingush_dictionary_full.txt
стадо,бежаӀул,,ingush_dictionary_full.txt
стадо (крупного рогатого скота),бежаӀул,,ingush_dictionary_full.txt
скотинка,бежинг,,ingush_dictionary_full.txt
скотный двор,бежкарт,,ingush_dictionary_full.txt
двор,бежкарт,,ingush_dictionary_full.txt
загон,бежкарт,,ingush_dictionary_full.txt
загон для скота,бежкарт,,ingush_dictionary_full.txt
кочевье для крупного рогатого скота,бежнаждар,,ingush_dictionary_full.txt
по-бежтински,бежташха,,ingush_dictionary_full.txt
бежтинец (Кавказ),бежте,,ingush_dictionary_full.txt
бежтинец,бежт||е,,ingush_dictionary_full.txt
бежтинка,бежт||е,,ingush_dictionary_full.txt
бежтинский,бежтий,,ingush_dictionary_full.txt
пастух,бежъӀу,,ingush_dictionary_full.txt
пастух крупного рогатого скота,бежӀу,,ingush_dictionary_full.txt
любить,беза,,ingush_dictionary_full.txt
тяжёлый,беза,,ingush_dictionary_full.txt
понравиться,бе́забала,,ingush_dictionary_full.txt
любовь (в разных значениях),безам,,ingush_dictionary_full.txt
любовь,бе́зам,,ingush_dictionary_full.txt
влечение,бе́зам,,ingush_dictionary_full.txt
желание,безам,,ingush_dictionary_full.txt
симпатия,бе́зам,,ingush_dictionary_full.txt
разочаровать,безам баккха,,ingush_dictionary_full.txt
разочароваться,безам бала,,ingush_dictionary_full.txt
волей-неволей,бе́зам бале а бе́це а,,ingush_dictionary_full.txt
желающий,бе́зам бар,,ingush_dictionary_full.txt
желающая,бе́зам бар,,ingush_dictionary_full.txt
плениться (перен.),безам баха,,ingush_dictionary_full.txt
плениться,бе́зам баха,,ingush_dictionary_full.txt
заинтересоваться,бе́зам баха,,ingush_dictionary_full.txt
страсть,бе́зам бахар,,ingush_dictionary_full.txt
пленить,бе́зам бахийта,,ingush_dictionary_full.txt
неохотно,безам боацаш,,ingush_dictionary_full.txt
нежелающий,безам боацаш,,ingush_dictionary_full.txt
разлюбить,безам дӀабала,,ingush_dictionary_full.txt
неохота,безам цахилар,,ingush_dictionary_full.txt
расхотеть,безам юхабала,,ingush_dictionary_full.txt
любовный,бе́зама,,ingush_dictionary_full.txt
петрушка,бе́замаб||уц,,ingush_dictionary_full.txt
насладиться,безамбаа,,ingush_dictionary_full.txt
любезный,безаме,,ingush_dictionary_full.txt
любезно,безаме,,ingush_dictionary_full.txt
приятно (в знач. сказ.),безаме ва,,ingush_dictionary_full.txt
неласковый,безаме воаца,,ingush_dictionary_full.txt
неласково,безаме воаца,,ingush_dictionary_full.txt
сухо,бе́заме воацаш,,ingush_dictionary_full.txt
неудобный (неприятный),безаме доаца,,ingush_dictionary_full.txt
неприятно,безаме доацаш,,ingush_dictionary_full.txt
нежность (добродушие),безаме дош,,ingush_dictionary_full.txt
радушие,бе́заме хилар,,ingush_dictionary_full.txt
1. прил. приятный,безаме,,ingush_dictionary_full.txt
милый,бе́заме,,ingush_dictionary_full.txt
интересно,бе́заме,,ingush_dictionary_full.txt
приветливо,бе́заме,,ingush_dictionary_full.txt
приветливый,бе́заме,,ingush_dictionary_full.txt
обаятельно,бе́заме,,ingush_dictionary_full.txt
обаятельный,бе́заме,,ingush_dictionary_full.txt
сладостный,бе́заме,,ingush_dictionary_full.txt
богатый (дорогой),безача маьха,,ingush_dictionary_full.txt
дорого,безача,,ingush_dictionary_full.txt
бегут,bejddæ-boagho,,ingush_dictionary_full.txt
узнал,bejzær,,ingush_dictionary_full.txt
чётки Бейли (цепочка ярких точек,Бейли сулхьаш,,ingush_dictionary_full.txt
мёртвые,bejnæræš,,ingush_dictionary_full.txt
урартиец (исторические народы),бейне,,ingush_dictionary_full.txt
урартиец,бейн||е,,ingush_dictionary_full.txt
урартийка,бейн||е,,ingush_dictionary_full.txt
Урарту,Бейнели,,ingush_dictionary_full.txt
локальные названия месяца Села бутт,Бейни-Села бутт,,ingush_dictionary_full.txt
урартийский,бейний,,ingush_dictionary_full.txt
потерял (видел),bejræ,,ingush_dictionary_full.txt
ограбил,bejxær,,ingush_dictionary_full.txt
издавать мелодические звуки,бе́ка,,ingush_dictionary_full.txt
гремучая змея,бека лихь,,ingush_dictionary_full.txt
издавать мелодичные звуки,бе́ка,,ingush_dictionary_full.txt
заставить звенеть,бе́кабе,,ingush_dictionary_full.txt
гремучник,бе́калихь,,ingush_dictionary_full.txt
кукушка,бе́карг,,ingush_dictionary_full.txt
кукушковый ткачик,бе́карга бӀибувцарг,,ingush_dictionary_full.txt
кукушечьехвостый удод,бе́карга цӀог долла тушолкотам,,ingush_dictionary_full.txt
месяц кукушки,бе́каргбутт,,ingush_dictionary_full.txt
Бекботов,Bekbotæ n.,,ingush_dictionary_full.txt
доха,бекх,,ingush_dictionary_full.txt
шуба,бекх,,ingush_dictionary_full.txt
мех на воротник,бекх,,ingush_dictionary_full.txt
шуба из меха животных,бекх,,ingush_dictionary_full.txt
1) доха; 2) тулуп,бекх,,ingush_dictionary_full.txt
богатая шуба,beq,,ingush_dictionary_full.txt
возместить,бе́кха,,ingush_dictionary_full.txt
возмездие,бекхам,,ingush_dictionary_full.txt
расплата,бе́кхам,,ingush_dictionary_full.txt
1) возмещение; 2) расплата,бе́кхам,,ingush_dictionary_full.txt
месть,бекхам,,ingush_dictionary_full.txt
безвозмездный,бекхамза,,ingush_dictionary_full.txt
безвозмездно,бекхамза,,ingush_dictionary_full.txt
Беко-юрт (селение),Beqe-jurt,,ingush_dictionary_full.txt
1) жердь; 2) шест,бе́къ,,ingush_dictionary_full.txt
жердь для крепления воза,бекъа,,ingush_dictionary_full.txt
жердь,бе́къа,,ingush_dictionary_full.txt
шест,бекъа,,ingush_dictionary_full.txt
делить,бекъа,,ingush_dictionary_full.txt
сухомятка,бекъа кха́ча,,ingush_dictionary_full.txt
суховей,бекъа м||ух,,ingush_dictionary_full.txt
сухожилие,бекъа пха,,ingush_dictionary_full.txt
сухой,бекъа,,ingush_dictionary_full.txt
на сухо,beqqhæ-bhar biäb,,ingush_dictionary_full.txt
делиться,бе́къабала,,ingush_dictionary_full.txt
понуд. ф. от бекъа (делить),бекъийта,,ingush_dictionary_full.txt
железная лопата,бел,,ingush_dictionary_full.txt
смеяться,бе́ла,,ingush_dictionary_full.txt
засмеяться,бе́лабала,,ingush_dictionary_full.txt
насмешить,бе́лабе,,ingush_dictionary_full.txt
плечи,белаж,,ingush_dictionary_full.txt
плечевая артерия,белажа́ бо́ккха пха,,ingush_dictionary_full.txt
артерия плечевая,белажа́ бо́ккха пха,,ingush_dictionary_full.txt
плечевое нервное сплетение,белажа́ нерваш вӀаши чоалъялар,,ingush_dictionary_full.txt
кость плечевая,белажа́ тӀехк,,ingush_dictionary_full.txt
плечевая кость,белажа́ тӀехк,,ingush_dictionary_full.txt
плечевой,белажа,,ingush_dictionary_full.txt
бюстгальтер,белажг,,ingush_dictionary_full.txt
лифчик,белажг,,ingush_dictionary_full.txt
смех,бе́лам,,ingush_dictionary_full.txt
посмешище,бе́лам,,ingush_dictionary_full.txt
пародировать,белам ба́ккха,,ingush_dictionary_full.txt
радость (смех),belæm,,ingush_dictionary_full.txt
пожать,беламаш хьалъо́за,,ingush_dictionary_full.txt
смешно,беламе,,ingush_dictionary_full.txt
курьёз,беламе хӀама,,ingush_dictionary_full.txt
комичный,бе́ламе,,ingush_dictionary_full.txt
насмешливый,бе́ламе,,ingush_dictionary_full.txt
курьёзный,беламе,,ingush_dictionary_full.txt
смешной,беламе,,ingush_dictionary_full.txt
лопаточка,белг,,ingush_dictionary_full.txt
неизвестный,белгал доаца,,ingush_dictionary_full.txt
особенность,белгал хилар,,ingush_dictionary_full.txt
определённый,belgæl,,ingush_dictionary_full.txt
ревность,белгала ше хилар,,ingush_dictionary_full.txt
знаменательный,белгала,,ingush_dictionary_full.txt
приметный,белгала,,ingush_dictionary_full.txt
заметный,белгала,,ingush_dictionary_full.txt
маршрут,белгал||баь никъ,,ingush_dictionary_full.txt
понуд. ф. от белгалде (заметить),белгалдайта,,ingush_dictionary_full.txt
приметить,белгалдаккха,,ingush_dictionary_full.txt
отметить,белгалдаккха,,ingush_dictionary_full.txt
указать,белгалда́ккха,,ingush_dictionary_full.txt
определить,белгалда́ккха,,ingush_dictionary_full.txt
примечание,белгалда́ккхар,,ingush_dictionary_full.txt
указание,белгалда́ккхар,,ingush_dictionary_full.txt
выделиться,белгалда́ла,,ingush_dictionary_full.txt
обозначиться,белгалда́ла,,ingush_dictionary_full.txt
отличиться,белгалда́ла,,ingush_dictionary_full.txt
определиться,белгалда́ла,,ingush_dictionary_full.txt
определение,белгалда́лар,,ingush_dictionary_full.txt
обозначение,белгалдар,,ingush_dictionary_full.txt
фиксация,белгалдар,,ingush_dictionary_full.txt
отличить,белгалдаха,,ingush_dictionary_full.txt
отличать,белгалда́ха,,ingush_dictionary_full.txt
указанный,белгалдаь,,ingush_dictionary_full.txt
положенный,белгалдаь,,ingush_dictionary_full.txt
выделить,белгалде,,ingush_dictionary_full.txt
обозначить,белгалде,,ingush_dictionary_full.txt
означать,белгалде,,ingush_dictionary_full.txt
фиксировать,белгалде,,ingush_dictionary_full.txt
определительные фразеологизмы,белгалдеша-къоастама фразеологизм,,ingush_dictionary_full.txt
склонение прилагательных,белгалдешай легар,,ingush_dictionary_full.txt
заурядный,белгалдоалаш доаца,,ingush_dictionary_full.txt
имя прилагательное,бе́лгалд||ош,,ingush_dictionary_full.txt
прилагательное,белгалд||ош,,ingush_dictionary_full.txt
указывающий,белгалду,,ingush_dictionary_full.txt
отличаться,белгалдувла,,ingush_dictionary_full.txt
неопределённая форма (глагол),белгалза форма,,ingush_dictionary_full.txt
неопределённо-личное предложение,белгалза юхь йола предложени,,ingush_dictionary_full.txt
неопределённый,белгалза,,ingush_dictionary_full.txt
неопределённо,белгалза,,ingush_dictionary_full.txt
неочевидно,белгалза,,ingush_dictionary_full.txt
неочевидный,белгалза,,ingush_dictionary_full.txt
неопределённо-количественные числительные,белгалза-массалий таьрахьдош,,ingush_dictionary_full.txt
примета,белгало,,ingush_dictionary_full.txt
галочка,белгало,,ingush_dictionary_full.txt
заметка,белгало,,ingush_dictionary_full.txt
пометка,белгало,,ingush_dictionary_full.txt
признак,белгало,,ingush_dictionary_full.txt
симптом,белгало,,ingush_dictionary_full.txt
отметка,белгало,,ingush_dictionary_full.txt
метка,белгало,,ingush_dictionary_full.txt
знамение,белгало,,ingush_dictionary_full.txt
знак,белгало,,ingush_dictionary_full.txt
характер,белгало,,ingush_dictionary_full.txt
1) метка; 2) знак; 3) отметка; 4) пометка,белгало́,,ingush_dictionary_full.txt
